iter	Passed	Remaining
431	1732	2278
432	1738	2277
433	1742	2272
434	1745	2267
435	1749	2262
436	1752	2258
437	1756	2254
438	1760	2249
439	1764	2245
440	1767	2241
441	1771	2236
442	1775	2232
443	1777	2226
444	1779	2219
445	1781	2212
446	1782	2205
447	1786	2200
448	1787	2194
449	1789	2187
450	1793	2183
451	1796	2178
452	1806	2181
453	1809	2176
454	1814	2173
455	1818	2169
456	1821	2164
457	1826	2160
458	1829	2156
459	1834	2153
460	1838	2149
461	1840	2143
462	1843	2137
463	1845	2132
464	1849	2127
465	1852	2122
466	1854	2116
467	1857	2111
468	1862	2108
469	1866	2104
470	1868	2098
471	1871	2093
472	1873	2087
473	1876	2082
474	1879	2077
475	1883	2073
476	1887	2069
477	1965	2146
478	1971	2143
479	1974	2138
480	1978	2134
481	1982	2130
482	1992	2132
483	1995	2127
484	1999	2123
485	2003	2118
486	2007	2114
487	2011	2110
488	2019	2110
489	2023	2105
490	2026	2101
491	2030	2096
492	2034	2092
493	2038	2088
494	2040	2081
495	2044	2077
496	2047	2071
497	2050	2067
498	2054	2062
499	2057	2057
500	2061	2052
501	2064	2048
502	2077	2052
503	2081	2048
504	2087	2045
505	2090	2041
506	2093	2035
507	2096	2030
508	2100	2026
509	2105	2022
510	2108	2018
511	2112	2013
512	2117	2009
513	2121	2005
514	2123	2000
515	2127	1995
516	2129	1989
517	2133	1984
518	2136	1979
519	2139	1974
520	2142	1970
521	2146	1965
522	2150	1961
523	2153	1956
524	2156	1951
525	2160	1946
526	2162	1941
527	2165	1935
528	2168	1930
529	2170	1925
530	2173	1919
531	2176	1914
532	2178	1909
533	2182	1904
534	2188	1902
535	2192	1897
536	2195	1893
537	2199	1888
538	2203	1884
539	2206	1879
540	2211	1876
541	2215	1871
542	2219	1867
543	2223	1863
544	2228	1860
545	2232	1856
546	2235	1851
547	2239	1847
548	2243	1843
549	2247	1838
550	2250	1834
551	2257	1832
552	2261	1828
553	2265	1823
554	2270	1820
555	2274	1816
556	2277	1811
