sitename,source,listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,apartment_size,amenities,property_image,lease_period
apartments.com,https://www.apartments.com/new-build-2-bedroom-lower-flat-halifax-ns-unit-2/p9k4hnt/,NEW BUILD - 2 Bedroom Lower Flat,NEW BUILD - 2 Bedroom Lower Flat,-1,"29 McIntosh St , Halifax , NS B3R 1G9 – Halifax",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$2,250",Apartment,2 bd,1 ba,,,https://images1.apartments.com/i2/uDwxzX8Fweg2Z_Pk-BAMq06w8Xq5kMv9bTzZsf6QNYA/111/new-build---2-bedroom-lower-flat-unit-2-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/19-twenty-apartments-halifax-ns/l04wf1e/,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,029 - C$2,030",Apartment,Studio bd,1 ba,507 sq ft,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",https://images1.apartments.com/i2/OsotaI5YtMaEIoloerXaxck8NH0195gPLmif6qcSc-M/111/19-twenty-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/19-twenty-apartments-halifax-ns/kel73z8/,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,200",Apartment,1 bd,1 ba,700 sq ft,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",https://images1.apartments.com/i2/OsotaI5YtMaEIoloerXaxck8NH0195gPLmif6qcSc-M/111/19-twenty-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/19-twenty-apartments-halifax-ns/7qt896z/,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,725",Apartment,2 bd,1 ba,890 sq ft,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",https://images1.apartments.com/i2/OsotaI5YtMaEIoloerXaxck8NH0195gPLmif6qcSc-M/111/19-twenty-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/halifax-apartments-scotia-tower-halifax-ns/tekg3s8/,Halifax Apartments – Scotia Tower,Halifax Apartments – Scotia Tower,-1,"1991 Brunswick St , Halifax , NS B3J 2G9 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,895",Apartment,1 bd,1 ba,659 sq ft,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",https://images1.apartments.com/i2/PfaOyTq9eFFKaGnpx4hF9nfELIBNzDnYIDq0ymYHtgw/111/halifax-apartments-scotia-tower-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/halifax-apartments-mackeen-towers-halifax-ns/yxkc3tr/,Halifax Apartments – MacKeen Towers,Halifax Apartments – MacKeen Towers,-1,"2001 Brunswick St , Halifax , NS B3J 3L8 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,950",Apartment,1 bd,1 ba,741 sq ft,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",https://images1.apartments.com/i2/6a9Dw9MCLXYRCkst3W9NpzEtpGJ_UzggR57Qcf5gN8o/111/halifax-apartments-mackeen-towers-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/ocean-brook-apartments-halifax-ns/gkg0drw/,Ocean Brook Apartments,Ocean Brook Apartments,-1,"40 Charlotte Ln , Halifax , NS B3M 4M1 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$1,985",Apartment,1 bd,1 ba,900 sq ft,"Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",https://images1.apartments.com/i2/ONsbwfNwYKo_epDRP17abqcMUu8rJF76upryDDYnDUQ/111/ocean-brook-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/ocean-brook-apartments-halifax-ns/dj0sqql/,Ocean Brook Apartments,Ocean Brook Apartments,-1,"40 Charlotte Ln , Halifax , NS B3M 4M1 – Halifax",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,385",Apartment,2 bd,1 ba,"1,470 sq ft","Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",https://images1.apartments.com/i2/ONsbwfNwYKo_epDRP17abqcMUu8rJF76upryDDYnDUQ/111/ocean-brook-apartments-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/76-place-apartments-bedford-ns/07snj21/,76 Place Apartments,76 Place Apartments,-1,"76 Armenia Dr , Bedford , NS B4A 4H6 – Bedford",-1,-1,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"C$2,525",Apartment,2 bd,1 ba,"1,338 sq ft","Washer/Dryer, Air Conditioning, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Furnished, Elevator, Balcony",https://images1.apartments.com/i2/v4gky0uGqegn7n5bvgr1TCUn4BlqQOB5Yc4qM6dJ_oA/111/76-place-apartments-bedford-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/fully-furnished-2-bedroom-short-term-ren-bedford-ns-unit-202/b6wj3qc/,FULLY FURNISHED 2 Bedroom - Short Term Ren...,FULLY FURNISHED 2 Bedroom - Short Term Ren...,-1,"1000 Larry Uteck Blvd , Bedford , NS B4B 1H6 – Bedford",-1,-1,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,"C$3,000",Apartment,2 bd,2 ba,,,https://images1.apartments.com/i2/yemo6BK_f6o6L1KJ5KoZW6BpXBbbxelf4yuFQFkmcU4/111/fully-furnished-2-bedroom---short-term-ren-unit-202-bedford-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/1-3-farthington-pl-halifax-ns/6s97vbr/,1-3 Farthington Pl,1-3 Farthington Pl,1 Bedroom 01-0303,"1-3 Farthington Pl , Halifax , NS B3A 2K3 – Halifax",-1,-1,https://images1.apartments.com/i2/vKjvGcvAByilUh4-uQZuJXm3BDPjn62jHiYN4PdoF3g/115/metcap-living-logo.jpg,"C$1,785",Apartment,1 bd,1 ba,739 sq ft,Laundry Facilities,https://images1.apartments.com/i2/t3DrhgdAJBcpWIHl-FfOHouHWTw3nHR_Vy08SUKGXNg/111/1-3-farthington-pl-halifax-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/s2-apartments-bedford-ns/v9n4p6d/,S2 Apartments,S2 Apartments,205,"89 Shaunslieve Dr , Bedford , NS B3M 3N3 – Halifax",-1,-1,https://images1.apartments.com/i2/JnmLYSG7UguMXiAO51siV00ojv2YFqSsPAw7EaURb58/115/killam---s2-apartments-logo.jpg,"C$1,995",Apartment,1 bd,1 ba,"1,013 sq ft","Air Conditioner, Cat Friendly, Geothermal Water Heating, In-Suite Laundry, Underground Parking Included With Wash Bay, Private Movie Theatre, Smoke-Free Building, Social Room, EV Charging Stations, Change Rooms, Heat And Hot Water Included, In-Floor Heating In Common Areas, Solar Panels, Patio/Balcony, Yoga Room, Laundry Facilities, EV Charging, Elevator, Fitness Center, Media Center/Movie Theatre",https://images1.apartments.com/i2/cThYYfxKUExLsr_DeEQxekorsrRt0dhykQOG9pYvKdA/111/s2-apartments-bedford-ns-primary-photo.jpg?p=1,-1
apartments.com,https://www.apartments.com/brentwood-halifax-ns/294398c/,Brentwood,Brentwood,3000-209,"3000-3003 Olivet St , Halifax , NS B3L 3Z9 – Halifax",-1,-1,https://images1.apartments.com/i2/JnmLYSG7UguMXiAO51siV00ojv2YFqSsPAw7EaURb58/115/killam-apartment-reit-logo.jpg,"C$1,775",Apartment,2 bd,1 ba,840 sq ft,"Hot Water Included, Bright and Spacious, Secure Entrance and Mail Drop Boxes, Free Parking, Parquet Flooring, Heat Included, Patio/Balcony, Laundry Facilities, Property Manager on Site, Elevator",https://images1.apartments.com/i2/6F9R1hEmQ9VxzYfIRnFAzaJZeGBWb1I0SAoqvk0mlpY/111/brentwood-halifax-ns-primary-photo.jpg?p=1,-1
