,listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,permit_Value,units_or_size
104,Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Templeton Properties,?,21,?,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240122_1319393975421501184862674.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/25/moxy-hotel-the-trinity-3/,Halifax Regional Municiaplity development blog,,
105,Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Jono Developments,?,21,?,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1258397755961711082093884.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/10/moxy-hotel-the-trinity-2/,Halifax Regional Municiaplity development blog,,
106,Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Jono Developments,?,21,?,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240101_1402103627557567298354389.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/03/6798/,Halifax Regional Municiaplity development blog,,
107,Moxy Hotel & The Trinity,5415 Cogswell @ Brunswick,Jono Developments,-1,21,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231210_133434.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/13/moxy-hotel-the-trinity/,Halifax Regional Municiaplity development blog,,
108,MZM Tower,"75 Wentworth Drive, Halifax",W.M. Fares,,19,105,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1505397423991633533822508.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/18/mzm-tower/,Halifax Regional Municiaplity development blog,$18.1M,
109,Stonehaven at Rockingham,75 Wentworth Drive,WM Fares,,19,114,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_130418.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/03/stonehaven-at-rockingham-south/,Halifax Regional Municiaplity development blog,-1,
110,75 Wentworth,-1,-1,,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,-1,
111,The Abraham,"2180 Robie Street, Halifax",Commons View Holdings Ltd,$22.4M,9,108,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231230_1443154408972597760767942.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/30/the-abraham/,Halifax Regional Municiaplity development blog,,
112,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
113,The Nook II,"2487 Maynard Street, Halifax",Thrive Properties,$5.5M,5,29,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240215_1335201661822932721294199.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/15/the-nook-ii/,Halifax Regional Municiaplity development blog,,
114,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
115,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
116,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
117,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
118,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
119,The Nook,"2487 Maynard Street, Halifax",Thrive Properties,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
120,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
121,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
122,The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
123,Northwood Gardens,"239 Gary Martin Drive, Bedford",Northwood,,4,75,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_154755185735860189761973.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/22/northwood-gardens/,Halifax Regional Municiaplity development blog,$13.3M,
124,Unknown,239 Gary Martin Drive,NovaCorp,,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,-1,
125,North Oxford,"2619 Oxford Street, Halifax",Mosaik Properties,$18 M,7,128,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240312_1346432637063913796084727.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/13/north-oxford/,Halifax Regional Municiaplity development blog,,
126,Oxford North,-1,Mosaik Properties,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
127,6399 North,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
128,North Station,"2766 Gladstone Street, Halifax",G Corp Ltd,-1,8,86,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_134854.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/11/north-station-3/,Halifax Regional Municiaplity development blog,,
129,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240304_1334303169567885842065802.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/05/nrth-condos-15/,Halifax Regional Municiaplity development blog,,
130,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240227_1307128126108008521530832.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/28/nrth-condos-14/,Halifax Regional Municiaplity development blog,,
131,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240219_14453123767637412216876.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/20/nrth-condos-13/,Halifax Regional Municiaplity development blog,,
132,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240208_1318472720828269983230118.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/nrth-condos-12/,Halifax Regional Municiaplity development blog,,
133,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240201_1309588242235751133866416.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/02/nrth-condos-11/,Halifax Regional Municiaplity development blog,,
134,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240123_1208588185813378545701931.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/nrth-condos-10/,Halifax Regional Municiaplity development blog,,
135,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,72,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240115_1254359157141273221338137.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/17/nrth-condos-9/,Halifax Regional Municiaplity development blog,,
136,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,-1,8,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240107_1419357405321697025570608.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/08/nrth-condos-8/,Halifax Regional Municiaplity development blog,,
137,NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,-1,8,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231215_1258093605918145242753854.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/15/nrth-condos-7/,Halifax Regional Municiaplity development blog,,
138,NRTH Condos,5411 Bilby,Urban Capital,-1,8,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231206_132712.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/07/nrth-condos-6/,Halifax Regional Municiaplity development blog,,
139,NSCC Waterfront Residence,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1335462194026368212683301.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/nscc-waterfront-residence/,Halifax Regional Municiaplity development blog,,
140,NSCC Student Residences,-1,-1,5 Floors – Student Housing – NSCC Waterfront Campus,5,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231126_140232.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/nscc-waterfront-campus-residences/,Halifax Regional Municiaplity development blog,,
141,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240313_1335364813517323695487776.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/14/ocean-vista-12/,Halifax Regional Municiaplity development blog,,
142,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240306_1258596369318691752954387.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/08/ocean-vista-11/,Halifax Regional Municiaplity development blog,,
143,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240226_1344047479830631822928023.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/27/ocean-vista-10/,Halifax Regional Municiaplity development blog,,
144,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240223_133137848581297984553967.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/24/ocean-vista-9/,Halifax Regional Municiaplity development blog,,
145,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240215_1322575834274375715227799.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/16/ocean-vista-8/,Halifax Regional Municiaplity development blog,,
146,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240209_1300096614106281083940315.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/10/ocean-vista-7/,Halifax Regional Municiaplity development blog,,
147,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240117_1333502949319957872387692.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/19/ocean-vista-6/,Halifax Regional Municiaplity development blog,,
148,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,-1,20,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1250182282457639432596699.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/10/ocean-vista-5/,Halifax Regional Municiaplity development blog,,
149,Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,-1,20,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240103_1327206895438660840044611.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/05/ocean-vista-4/,Halifax Regional Municiaplity development blog,,
150,Ocean Vista,"2215 Gottingen Street, Halifax",E.C. Gottingen Investments,$31M,20,142,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231220_1301335483876073893598432.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/20/ocean-vista-3/,Halifax Regional Municiaplity development blog,,
151,The Olympic,"1140 Barrington Street, Halifax",George’s Investments,$9.4 M,8,7,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1610284343635499761517918.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/20/the-olympic-3/,Halifax Regional Municiaplity development blog,,
152,The Olympic,"1140 Barrington Street, Halifax",George’s Investments,-1,8,47,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240108_1317597322944218063595078.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/09/the-olympic-2/,Halifax Regional Municiaplity development blog,,
153,THE OLYMPIC,"1140 Barrington Street, Halifax",George’s Investments Ltd,-1,8,47,Residential with GF Commercial,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_133047.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/27/the-olympic/,Halifax Regional Municiaplity development blog,,
154,One 77,"7177 Quinpool Road, Halifax",Page Property Ltd,-1,32,77,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240108_13395342485539806142254.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/09/one-77-2/,Halifax Regional Municiaplity development blog,,
155,One 77,"7177 Quinpool Road, Halifax",One77 Developments,-1,32,77,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_123250.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/03/one-77/,Halifax Regional Municiaplity development blog,,
156,7177 Quinpool,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
157,7177 Quinpool,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
158,7177 Quinpool,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
159,7177 Quinpool,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
160,7177 Quinpool,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
161,7177 Quinpool,7177 Quinpool,-1,-1,32,77,Residential,-1,-1,Halifax Regional Municiaplity development blog,,
162,Parish Square,"3840 Joseph Howe Drive, Halifax",Hage Enterprises,$22 M,7,110,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1407232066269632560015841.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/29/parish-square-2/,Halifax Regional Municiaplity development blog,,
163,Parish Square,"3840 Joseph Howe Drive, Halifax",Hage Enterprises,-1,7,110,0,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_1420062155078325444542238.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/18/parish-square/,Halifax Regional Municiaplity development blog,,
164,-1,3840 Joseph Howe,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
165,Parkland at the Commons,"6015 Quinpool Road, Halifax",Shannex Developments,$38.3 M,26,226,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1523181150712722285356158.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/19/parkland-at-the-commons-6/,Halifax Regional Municiaplity development blog,,
166,Parkland at the Common,"6015 Quinpool Road, Halifax",Shannex Developments,$38.3 M,26,226,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240207_1334112458781382635903923.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/07/parkland-at-the-common/,Halifax Regional Municiaplity development blog,,
167,Parkland at the Commons,"6009 Quinpool Road, Halifax",Shannex Developments,-1,25,Assisted Care,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231230_1455073960167241242935337.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/parkland-at-the-commons-4/,Halifax Regional Municiaplity development blog,,
168,Parkland at the Commons,6009 Quinpool Road,Shannex Developments Ltd,-1,25,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_120447.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/02/parkland-at-the-commons-3/,Halifax Regional Municiaplity development blog,,
169,Port West,"3644 Dutch Village Road, Halifax",United Gulf,$12.4 M,8,74,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1430219083114538454603999.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/30/port-west-2/,Halifax Regional Municiaplity development blog,,
170,Port West,"3644 Dutch Village Road, Halifax",United Gulf,-1,8,74,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20231231_1543363963048239053365021.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/02/port-west/,Halifax Regional Municiaplity development blog,,
171,Press Block,"1730 Granville Street, Halifax",Dexel Developments,$22.8 M,9,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1447247884702387738144592.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/18/press-block-2/,Halifax Regional Municiaplity development blog,,133
172,Press Block,-1,Dexel Developments,-1,9,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231216_1311413605173940735235253.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/16/press-block/,Halifax Regional Municiaplity development blog,,-1
173,RALSTON BUILDING,1557 Hollis Street,-1,,21,462,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_141933.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/29/ralston-building/,Halifax Regional Municiaplity development blog,$99M,
174,Richmond Suites West,"Richmond Street, Dartmouth",-1,-1,6,-1,0,https://halifaxdevelopments.files.wordpress.com/2024/01/20240118_135910464643524968485787.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/20/richmond-suites-west/,Halifax Regional Municiaplity development blog,,
175,Richmond East (117 Richmond),-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
176,Richmond Yards,"6070 Almon Street, Halifax",Westwood Group,$41.4 M,30,257,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240314_1323385819646235333089992.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/15/richmond-yards-48/,Halifax Regional Municiaplity development blog,,
177,Richmond Yards,"6070 Almon Street, Halifax",Westwood Group,$41.4 M,30,257,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240222_1300078381177498713134562.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/23/richmond-yards-47/,Halifax Regional Municiaplity development blog,,
178,Richmond Yards,"6070 Almon Street, Halifax",Westwood Group,-1,-1,-1,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240212_1316391670768271554002993.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/14/richmond-yards-46/,Halifax Regional Municiaplity development blog,,
179,Richmond Yards,"6070 Almon Street, Halifax",Westwood Group,$41.4 M,30,257,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240121_1441098143572641202932305.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/24/richmond-yards-45/,Halifax Regional Municiaplity development blog,,
180,Richmond Yards,-1,-1,-1,-1,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240111_1333136536881688374099873.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/13/richmond-yards-44/,Halifax Regional Municiaplity development blog,,
181,Richmond Yards,"6070 Almon Street, Halifax",Westwood Group,-1,32,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240104_1331566969655632573605263.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/06/richmond-yards-43/,Halifax Regional Municiaplity development blog,,
182,Richmond Yards,"6070 Almon Street, Halifax",Westwood Group,-1,32,8 Buidings,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231228_1333245747391318291607328.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/30/richmond-yards-42/,Halifax Regional Municiaplity development blog,,
183,Dec 24/23 Permits,-1,-1,-1,-1,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/10000022654295595692624035487.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/24/dec-24-23-permits/,Halifax Regional Municiaplity development blog,,
184,Richmond Yards,-1,-1,-1,-1,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_135215.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/11/6530/,Halifax Regional Municiaplity development blog,,
185,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
186,Robie & May,"2705 Robie Street, Halifax",Phoenix Development,$?,8,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240304_1349132153486056171086420.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/06/robie-may-3/,Halifax Regional Municiaplity development blog,,88
187,Robie May,"2705 Robie Street, Halifax",Phoenix Development,$?,8,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240130_13490645185628603303465.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/31/robie-may-2/,Halifax Regional Municiaplity development blog,,88
188,Robie & May,"2705 Robie Street, Halifax",Phoenix Development,-1,-1,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240121_1436047915154033353260378.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/24/robie-may/,Halifax Regional Municiaplity development blog,,-1
189,Rockingham Station,"205 Bedford Highway, Halifax",Rockingham Station Ltd,-1,8,55,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/11/20231125_155601.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/25/rockingham-station/,Halifax Regional Municiaplity development blog,,
190,The Rooks of West Bedford,"16 Rooksview Lane, Bedford",Unknown,$46.4 M,15,290,1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240303_1432481864381102160440994.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/04/the-rooks-of-west-bedford-4/,Halifax Regional Municiaplity development blog,,
191,The Rooks of West Bedford,"16 Rooksview Lane, Bedford",Unknown,$46.4 M,15,290,-1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240211_1353338687298691294616983.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/12/the-rooks-of-west-bedford-3/,Halifax Regional Municiaplity development blog,,
192,The Rooks of West Bedford,"Rooksview Lane, Bedford",-1,-1,14,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231225_1259372691453423709611985.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/27/the-rooks-of-west-bedford-2/,Halifax Regional Municiaplity development blog,,
193,The Rooks of West Bedford,"Rooksview Lane, Bedford",-1,-1,15,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231217_130648542243888457063391.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/19/the-rooks-of-west-bedford/,Halifax Regional Municiaplity development blog,,
194,SKYE HALIFAX,Hollis & Sackville,United Gulf Developments,,21,-1,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_141738.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/28/skye-halifax/,Halifax Regional Municiaplity development blog,-1,
195,Brunswick Supportive Housing,"2445 Brunswick Street, Halifax",Soicety of Saint Vincent de Paul,$11M,4,38,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240226_1328392776080866654497889.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/27/brunswick-supportive-housing/,Halifax Regional Municiaplity development blog,,
196,Brunswick Support Housing,-1,Society of Saint Vincent de Paul,-1,4,38,Supportive Housing,https://halifaxdevelopments.files.wordpress.com/2023/12/20231210_131723.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/12/brunswick-support-housing/,Halifax Regional Municiaplity development blog,,
197,South Village,"South Street, Halifax",Templeton Properties,-1,9,-1,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231231_1421155243778377501005839.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/02/south-village-3/,Halifax Regional Municiaplity development blog,,
198,The Vuze,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
199,South Village,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
200,South Village,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
201,South Village,-1,Templeton Properties,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
202,-1,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
203,South Village,-1,Templeton Properties,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
204,The Story of Home,"210-214 Willett Street, Halifax",My Story Living,$61.6 M,17,530 Units Total,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1521041473885490514560478.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/19/the-story-of-home/,Halifax Regional Municiaplity development blog,,
205,Story of Home,"210-217 Willett Street, Halifax",Hazelview Developments,-1,17,527 Units,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_125415.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/03/story-of-home/,Halifax Regional Municiaplity development blog,,
206,The Winslow,"6211 Willow Street, Halifax",Flex Build,$15.1 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240314_1314258463988215073710582.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/16/the-winslow/,Halifax Regional Municiaplity development blog,,
207,Windsor & Willow,"6211 Willow Street, Halifax",Unknown,$15.1 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240225_1434168393375750525366008.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/26/windsor-willow-2/,Halifax Regional Municiaplity development blog,,
208,Windsor & Willow,"2570 Windsor Street, Halifax",Whimsical Lake Developments Ltd,-1,8,84,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231230_1435452795155891238540349.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/windsor-willow/,Halifax Regional Municiaplity development blog,,
209,Windsor & Willow Apartments,-1,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municiaplity development blog,,
210,The Woods,"430 Pockwock Road, Upper Hammonds Plains",Welcome Home Construction,,3,160,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_1429438322724061656926500.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/22/the-woods/,Halifax Regional Municiaplity development blog,$35.0 M,
211,Wyse Tower,"5 Williams Street, Dartmouth",Boston Developments,$28.8M,27,162,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240314_1426003832395082634169891.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/16/wyse-tower-7/,Halifax Regional Municiaplity development blog,,
212,Wyse Tower,"5 Williams Street, Dartmouth",Boston Developments,$28.8M,27,162,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240308_1429555810964244976677973.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/09/wyse-tower-6/,Halifax Regional Municiaplity development blog,,
213,Wyse Tower,"5 Williams Street, Dartmouth",Boston Developments,$28.8M,27,162,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240229_141302247989274919891921.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/01/wyse-tower-5/,Halifax Regional Municiaplity development blog,,
214,Wyse Tower,"5 Williams Street, Dartmouth",Boston Developments,$28.8M,27,162,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240216_1420076152925231213992969.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/17/wyse-tower-4/,Halifax Regional Municiaplity development blog,,
215,Wyse Tower,"1 Williams Street, Dartmouth",Boston Developments,-1,27,Residential,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240111_1414216288408336103960577.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/12/wyse-tower-3/,Halifax Regional Municiaplity development blog,,
216,Wyse Tower,"1 Williams Street, Dartmouth",Boston Developments,-1,27,160,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240103_1420507122297654889591318.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/04/wyse-tower-2/,Halifax Regional Municiaplity development blog,,
