listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
Boa Vista,"153 Wyse Road, Dartmouth",RoMa Developments,$20.6 M,16,114,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240207_1421274424170378527968547.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/boa-vista/,Halifax Regional Municipality development blog,,
153 Wyse Road,"153 Wyse Road, Dartmouth",-1,$20.6M,16,114,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231218_1414084092097612748112833.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/20/153-wyse-road-3/,Halifax Regional Municipality development blog,,
153 Wyse Road,-1,-1,-1,16,114,Mixed-Use,-1,-1,Halifax Regional Municipality development blog,,
-1,-1,-1,-1,16,114,Mixed-Use,-1,-1,Halifax Regional Municipality development blog,,
Cedar Ridge,"35 Lynnett Road, Halifax",FH Development Group,$5.0 M,4,40,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1529335070260692190782430.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/30/cedar-ridge/,Halifax Regional Municipality development blog,,
Compass Co-Operative,"2095 Maitland Street, Halifax",Compass Co-operative Homes Ltd,-1,6,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240101_1353375892600938231458752.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/02/compass-co-operative/,Halifax Regional Municipality development blog,57,
Compass Co-Op Housing,"2095 Maitland Street, Halifax",-1,-1,6,,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231210_133127.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/12/compass-co-op-housing/,Halifax Regional Municipality development blog,-1,
-1,-1,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
-1,"2095 Maitland Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
-1,"2095 Maitland Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
-1,"2095-2119 Maitland, Halifax",-1,-1,6,,-1,-1,-1,Halifax Regional Municipality development blog,57,
The Cunard,"1325 Lower Water Street, Halifax",Southwest Properties,$73.1 M,16,235,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240421_1639054881677099783567135.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/23/the-cunard-3/,Halifax Regional Municipality development blog,,
The Cunard,"1325 Lower Water Street, Halifax",Southwest Properties,$73.1 M,16,235,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240302_1430185744957435341858950.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/03/the-cunard-2/,Halifax Regional Municipality development blog,,
CUNARD RESIDENCES,Lower Water & Morris,Southwest Properties,-1,19,-1,Residential and Commercial,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_135219.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/27/cunard-residences/,Halifax Regional Municipality development blog,,
The Cunard,1475 Lower Water,-1,-1,-1,-1,-1,-1,-1,Halifax Regional Municipality development blog,,
The Cypress,"57 Hamlet Lane, Dartmouth",Pinnacle Construction,$29.6 M,10,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240411_1401112030840062897053324.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/13/the-cypress/,Halifax Regional Municipality development blog,,
The Cypress,"57 Hamlet Lane, Dartmouth",Pinnacle Construction,$29.6 M,10,148,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240301_1358076198606969725330155.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/02/57-hamlet-lane/,Halifax Regional Municipality development blog,,
Dartmouth Towers,"20 Best Street, Dartmouth",Manga Hotels,?,40,1350,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240405_1357107906338586386549375.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/06/dartmouth-towers-3/,Halifax Regional Municipality development blog,,
Dartmouth Towers,"20 Best Street, Dartmouth",Manga Hotels,?,40,1350,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240221_1359433056185636001463219.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/22/dartmouth-towers-2/,Halifax Regional Municipality development blog,,
Dartmouth Towers,"20 Best Street, Dartmouth",Manga Hotels,?,33,? Units,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240201_134610272703065287873979.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/03/dartmouth-towers/,Halifax Regional Municipality development blog,,
