listing_name,address,property_management_name,permit_value,floors,units_or_Size,building_type,image,url,source_name,units_or_size,permit_Value
Lancaster Villas,"4 Lancaster Drive, Dartmouth",Baker Drive Developments,$44.0 M,7,176,Residential,https://halifaxdevelopments.files.wordpress.com/2024/02/20240208_1432357509471757774370073.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/lancaster-villas-3/,Halifax Regional Municipality development blog,,
Lancaster Villas,"4 & 6 Lancaster Drive, Dartmouth",Baker Drive Developments,$44.0 M,7,352,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1357433038781477115452661.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/11/lancaster-villas-2/,Halifax Regional Municipality development blog,,
Lancaster Villas,Baker Drive Developments Crane being erected to the right is for 28 Viridian Drive,-1,-1,8,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231206_140924.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/07/lancaster-villas/,Halifax Regional Municipality development blog,,
Lock Suites,"1120 Wellington Street, Halifax",Banc Group,,9,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1509113797612948817436977.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/18/lock-suites-2/,Halifax Regional Municipality development blog,101,$13M
LOCK SUITES,-1,Banc Group,,8,,Residential,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_143059.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/29/lock-suites/,Halifax Regional Municipality development blog,-1,-1
Lock Suites (1110 Wellington),-1,-1,,-1,,Unknown,-1,-1,Halifax Regional Municipality development blog,-1,-1
Macara Presidio,"5510 Macara Street, Halifax",-1,$12M,7,72 Units,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240422_1248136302976300607035440.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/26/macara-presidio-4/,Halifax Regional Municipality development blog,,
Macara Presidio,"5510 Macara Street, Halifax",-1,$12M,7,72 Units,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240418_1246284197773049860092390.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/20/macara-presidio-3/,Halifax Regional Municipality development blog,,
Macara Presidio,"5510 Macara Street, Halifax",-1,$12M,7,72 Units,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240415_1232466946607072116059486.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/17/macara-presidio-2/,Halifax Regional Municipality development blog,,
Macara Presidio,"5516 Macara Street, Halifax",-1,$12M,7,60 Units,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240304_1338382323171465402486290.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/05/macara-presidio/,Halifax Regional Municipality development blog,,
Main Street Centre,"139 Main Street, Dartmouth",Affirmative Ventures,-1,6,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231223_1551307770724430159723565.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/26/main-street-centre/,Halifax Regional Municipality development blog,45,
Main Street Centre,-1,Affirmative Ventures,-1,6,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240112_1418581340774926210259910.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/14/main-street-centre-2/,Halifax Regional Municipality development blog,-1,
The Marlstone,"1871 Albemarle Street, Halifax",Crombie REIT,72.8 M,19,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/05/20240504_1752398837549949565599362.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/05/the-marlstone-4/,Halifax Regional Municipality development blog,291,
The Marlstone,"1871 Albemarle Street, Halifax",Crombie REIT,72.8 M,19,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240428_1438283490389219062861487.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/30/the-marlstone-3/,Halifax Regional Municipality development blog,291,
The Marlstone,"1871 Albemarle Street, Halifax",Crombie REIT,72.8 M,19,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1438224771502571708193469.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/18/the-marlstone-2/,Halifax Regional Municipality development blog,291,
The Marlstone,"1871 Albemarle Street, Halifax",Crombie REIT,72.8 M,19,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231220_1319443040133321719458752.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/21/the-marlstone/,Halifax Regional Municipality development blog,291,
Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,$13.4 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/05/20240506_1827208755307558133622261.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/08/maynard-suites-7/,Halifax Regional Municipality development blog,,
Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,$13.4 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240406_1702277006383742034529762.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/09/maynard-suites-6/,Halifax Regional Municipality development blog,,
Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,$13.4 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240319_1305446910947272190699499.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/20/maynard-suites-5/,Halifax Regional Municipality development blog,,
Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,$13.4 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240130_1356193571827369197319757.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/31/maynard-suites-4/,Halifax Regional Municipality development blog,,
Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings Ltd,$13.4 M,7,84,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240107_1405045372561053701369421.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/07/maynard-suites-3/,Halifax Regional Municipality development blog,,
Maynard Suites,"2562 Maynard Street, Halifax",Maynard Holdings,-1,7,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231228_1319334454797665305697301.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/29/maynard-suites-2/,Halifax Regional Municipality development blog,,
Maynard Suites,"2562 Maynard Street, Halifax",-1,-1,7,-1,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_123054.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/05/maynard-suites/,Halifax Regional Municipality development blog,,
Millennia Suites,"2621 Clifton Street, Halifax",Emerald Property Investments,,8,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/05/20240501_1840333692170292721407044.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/03/millennia-suites/,Halifax Regional Municipality development blog,53,$14M
2621 Clifton,"2621 Clifton Street, Halifax",RoMa Developments,,8,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240121_1453127893433926344198011.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/24/2621-clifton-6/,Halifax Regional Municipality development blog,53,-1
Moffatt’s Pharmacy,"186-190 Portland Street, Dartmouth",Unknown,$28.0M,9-8,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240412_1411355444348791220224162.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/15/moffatts-pharmacy-4/,Halifax Regional Municipality development blog,175 Units Total,
Moffatt’s Pharmacy,"186-190 Portland Street, Dartmouth",Unknown,$28.0M,9-8,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240405_1404343253178526773096092.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/06/moffatts-pharmacy-3/,Halifax Regional Municipality development blog,175 Units Total,
Moffat’s Pharmacy II,"186-190 Portland Street, Dartmouth",Unknown,$28.0M,9-8,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240326_1408461318269514088258540.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/30/moffats-pharmacy-ii/,Halifax Regional Municipality development blog,175 Units Total,
Moffatt’s Pharmacy,"186 Portland Street, Dartmouth",-1,-1,7,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231205_133709.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/moffatts-pharmacy/,Halifax Regional Municipality development blog,-1,
Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Templeton Properties,?,21,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240329_161109355898016892017104.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/01/moxy-hotel-the-trinity-4/,Halifax Regional Municipality development blog,?,
Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Templeton Properties,?,21,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240223_1339342821958788698941770.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/24/the-trinity-moxy-hotel/,Halifax Regional Municipality development blog,?,
Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Templeton Properties,?,21,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240122_1319393975421501184862674.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/25/moxy-hotel-the-trinity-3/,Halifax Regional Municipality development blog,?,
Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Jono Developments,-,21,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1258397755961711082093884.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/10/moxy-hotel-the-trinity-2/,Halifax Regional Municipality development blog,-,
Moxy Hotel & The Trinity,"5415 Cogswell Street, Halifax",Jono Developments,-,21,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240101_1402103627557567298354389.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/03/6798/,Halifax Regional Municipality development blog,-,
Moxy Hotel & The Trinity,5415 Cogswell @ Brunswick,Jono Developments,-,21,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231210_133434.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/13/moxy-hotel-the-trinity/,Halifax Regional Municipality development blog,-,
MZM Tower,"75 Wentworth Drive, Halifax",W.M. Fares,$18.1 M,19,,1,https://halifaxdevelopments.files.wordpress.com/2024/04/20240420_1603496028322724435181874.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/23/mzm-tower-2/,Halifax Regional Municipality development blog,105,
MZM Tower,"75 Wentworth Drive, Halifax",W.M. Fares,$18.1 M,19,,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1505397423991633533822508.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/18/mzm-tower/,Halifax Regional Municipality development blog,105,
Stonehaven at Rockingham,75 Wentworth Drive,WM Fares,-1,19,,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_130418.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/03/stonehaven-at-rockingham-south/,Halifax Regional Municipality development blog,114,
-1,75 Wentworth,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
-1,-1,-1,-1,-1,,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231217_130823309728207014457356.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/17/dec-17-23-permits/,Halifax Regional Municipality development blog,-1,
The Nook II,"2487 Maynard Street, Halifax",Thrive Properties,$5.5M,5,,1,https://halifaxdevelopments.files.wordpress.com/2024/02/20240215_1335201661822932721294199.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/15/the-nook-ii/,Halifax Regional Municipality development blog,29,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",Thrive Properties,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
The Nook,"2487 Maynard Street, Halifax",-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
Northwood Gardens,"239 Gary Martin Drive, Bedford",Northwood,$13.3M,4,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/01/20240120_154755185735860189761973.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/22/northwood-gardens/,Halifax Regional Municipality development blog,75,
-1,"239 Gary Martin Drive, Bedford",NovaCorp,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
Oxford North,"2619 Oxford Street, Halifax",Mosaik Properties,$18 M,7,,1,https://halifaxdevelopments.files.wordpress.com/2024/04/20240413_1715031880894475074839968.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/17/oxford-north/,Halifax Regional Municipality development blog,128,
North Oxford,"2619 Oxford Street, Halifax",Mosaik Properties,$18 M,7,,1,https://halifaxdevelopments.files.wordpress.com/2024/03/20240312_1346432637063913796084727.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/13/north-oxford/,Halifax Regional Municipality development blog,128,
Oxford North,-1,Mosaik Properties,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
6399 North,-1,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
North Station,"2766 Gladstone Street, Halifax",G Corp Ltd,-1,8,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2023/12/20231209_134854.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/11/north-station-3/,Halifax Regional Municipality development blog,86,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/05/20240503_1741586347512875400537908.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/04/nrth-condos-20/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240413_1504253513214623391371512.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/15/nrth-condos-19/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240405_1259378535479183442047850.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/05/nrth-condos-18/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240328_1333371290119363291854779.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/30/nrth-condos-17/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240321_1322545955124446992306373.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/22/nrth-condos-16/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240304_1334303169567885842065802.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/05/nrth-condos-15/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240227_1307128126108008521530832.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/28/nrth-condos-14/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240219_14453123767637412216876.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/20/nrth-condos-13/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240208_1318472720828269983230118.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/09/nrth-condos-12/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240201_1309588242235751133866416.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/02/nrth-condos-11/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,71,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240123_1208588185813378545701931.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/nrth-condos-10/,Halifax Regional Municipality development blog,,
NRTH Condos,"5511 Bilby Street, Halifax",Urban Capital,$18 M,8,72,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240115_1254359157141273221338137.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/17/nrth-condos-9/,Halifax Regional Municipality development blog,,
NSCC Waterfront Residence,-1,-1,-1,-1,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240124_1335462194026368212683301.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/26/nscc-waterfront-residence/,Halifax Regional Municipality development blog,-1,
NSCC Student Residences,-1,-1,-1,5,,-1,https://halifaxdevelopments.files.wordpress.com/2023/12/20231126_140232.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/06/nscc-waterfront-campus-residences/,Halifax Regional Municipality development blog,-1,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/05/20240505_1237017860985240772369321.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/06/ocean-vista-18/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240424_1244142946020850460360747.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/28/ocean-vista-17/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240417_1246476447175130504060376.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/19/ocean-vista-16/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240410_1311326144138197618695431.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/12/ocean-vista-15/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240401_1337205701183065123781920.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/03/ocean-vista-14/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240320_1231351672845466025588069.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/22/ocean-vista-13/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240313_1335364813517323695487776.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/14/ocean-vista-12/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240306_1258596369318691752954387.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/08/ocean-vista-11/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240226_1344047479830631822928023.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/27/ocean-vista-10/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240223_133137848581297984553967.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/24/ocean-vista-9/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240215_1322575834274375715227799.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/16/ocean-vista-8/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240209_1300096614106281083940315.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/10/ocean-vista-7/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240117_1333502949319957872387692.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/19/ocean-vista-6/,Halifax Regional Municipality development blog,142,
Ocean Vista,"2215 Gottingen Street, Halifax",RoMa Developments,$31M,20,,-1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240109_1250182282457639432596699.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/10/ocean-vista-5/,Halifax Regional Municipality development blog,-1,
-1,Ocean Vista – 2215 Gottingen,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
-1,2215 Gottingen (at Prince William),-1,$31M,21,,Mixed Use,-1,-1,Halifax Regional Municipality development blog,142,
The Olympic,"1140 Barrington Street, Halifax",George’s Investments,$9.4 M,8,7,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240406_1403053758777982843599232.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/07/the-olympic-5/,Halifax Regional Municipality development blog,,
The Olympic,"1140 Barrington Street, Halifax",George’s Investments,$9.4 M,8,7,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240323_1353294522788857158491656.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/26/the-olympic-4/,Halifax Regional Municipality development blog,,
The Olympic,"1140 Barrington Street, Halifax",George’s Investments,$9.4 M,8,7,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240218_1610284343635499761517918.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/20/the-olympic-3/,Halifax Regional Municipality development blog,,
The Olympic,"1140 Barrington Street, Halifax",George’s Investments,$9.4 M,8,47,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240108_1317597322944218063595078.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/09/the-olympic-2/,Halifax Regional Municipality development blog,,
THE OLYMPIC,"1140 Barrington Street, Halifax",George’s Investments Ltd,-1,8,47,Residential with GF Commercial,https://halifaxdevelopments.files.wordpress.com/2023/11/20231126_133047.jpg?w=1024,https://halifaxdevelopments.ca/2023/11/27/the-olympic/,Halifax Regional Municipality development blog,,
One 77,"7177 Quinpool Road, Halifax",One77 Developments,,32,,Residential,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_123250.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/03/one-77/,Halifax Regional Municipality development blog,77,-1
One 77,"7177 Quinpool Road, Halifax",Page Property Ltd,,32,,Mixed Use,https://halifaxdevelopments.files.wordpress.com/2024/01/20240108_13395342485539806142254.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/09/one-77-2/,Halifax Regional Municipality development blog,77,-1
One 77,"7177 Quinpool Road, Halifax",-1,,-1,,-1,https://halifaxdevelopments.files.wordpress.com/2024/05/20240504_1826002648349499767555834.jpg?w=1024,https://halifaxdevelopments.ca/2024/05/06/one-77-3/,Halifax Regional Municipality development blog,-1,-1
7177 Quinpool,-1,-1,,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,-1
7177 Quinpool,-1,-1,,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,-1
7177 Quinpool,-1,-1,,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,-1
7177 Quinpool,-1,-1,,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,-1
7177 Quinpool,-1,-1,,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,-1
7177 Quinpool,-1,-1,,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,-1
Oxford North,"2619 Oxford Street, Halifax",Mosaik Properties,$18 M,7,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/04/20240413_1715031880894475074839968.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/17/oxford-north/,Halifax Regional Municipality development blog,128,
North Oxford,"2619 Oxford Street, Halifax",Mosaik Properties,$18 M,7,,Residential,https://halifaxdevelopments.files.wordpress.com/2024/03/20240312_1346432637063913796084727.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/13/north-oxford/,Halifax Regional Municipality development blog,128,
Oxford North,Not Available,Mosaik Properties,-1,7,,Residential,-1,-1,Halifax Regional Municipality development blog,128,
6399 North,Not Available,-1,-1,-1,,-1,-1,-1,Halifax Regional Municipality development blog,-1,
Parish Square,"3840 Joseph Howe Drive, Halifax",Hage Enterprises,$22 M,7,110,1,https://halifaxdevelopments.files.wordpress.com/2024/01/20240128_1407232066269632560015841.jpg?w=1024,https://halifaxdevelopments.ca/2024/01/29/parish-square-2/,Halifax Regional Municipality development blog,,
Parkland at the Commons,"6015 Quinpool Road, Halifax",Shannex Developments,$38.3 M,26,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/04/20240406_1453211092337952520167654.jpg?w=1024,https://halifaxdevelopments.ca/2024/04/08/parkland-at-the-commons-7/,Halifax Regional Municipality development blog,226,
Parkland at the Commons,"6015 Quinpool Road, Halifax",Shannex Developments,$38.3 M,26,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/03/20240317_1523181150712722285356158.jpg?w=1024,https://halifaxdevelopments.ca/2024/03/19/parkland-at-the-commons-6/,Halifax Regional Municipality development blog,226,
Parkland at the Commons,"6015 Quinpool Road, Halifax",Shannex Developments,$38.3 M,26,,Mixed-Use,https://halifaxdevelopments.files.wordpress.com/2024/02/20240207_1334112458781382635903923.jpg?w=1024,https://halifaxdevelopments.ca/2024/02/07/parkland-at-the-common/,Halifax Regional Municipality development blog,226,
Parkland at the Commons,"6009 Quinpool Road, Halifax",Shannex Developments,Not specified,25,,Not specified,https://halifaxdevelopments.files.wordpress.com/2023/12/20231230_1455073960167241242935337.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/31/parkland-at-the-commons-4/,Halifax Regional Municipality development blog,Assisted Care,
Parkland at the Commons,"6009 Quinpool Road, Halifax",Shannex Developments Ltd,Not specified,25,,Not specified,https://halifaxdevelopments.files.wordpress.com/2023/12/20231202_120447.jpg?w=1024,https://halifaxdevelopments.ca/2023/12/02/parkland-at-the-commons-3/,Halifax Regional Municipality development blog,-1,
